Region,Qualification,working_age_population_according_to_education_dataset,Population_percentage,Population_2019,GDHI per capita (2019)
North East,Degree,1801660,22.3468912,2669941,17096
North East,Higher education,1801660,30.83300956,2669941,17096
North East,A-level (or equivalent),1801660,55.12105503,2669941,17096
North East,GCSE (A*-C),1801660,78.69853357,2669941,17096
North West,Degree,3943387,27.13591134,7341196,18601
North West,Higher education,3943387,35.4160776,7341196,18601
North West,A-level (or equivalent),3943387,58.39736247,7341196,18601
North West,GCSE (A*-C),3943387,80.43922648,7341196,18601
Yorkshire and the Humber ,Degree,3691212,25.18609064,5502967,17959
Yorkshire and the Humber ,Higher education,3691212,32.7782582,5502967,17959
Yorkshire and the Humber ,A-level (or equivalent),3691212,56.48545789,5502967,17959
Yorkshire and the Humber ,GCSE (A*-C),3691212,79.13094669,5502967,17959
East Midlands,Degree,3230460,24.73694149,4835928,18635
East Midlands,Higher education,3230460,32.5838735,4835928,18635
East Midlands,A-level (or equivalent),3230460,56.60401305,4835928,18635
East Midlands,GCSE (A*-C),3230460,78.6952013,4835928,18635
West Midlands,Degree,3936934,24.86991146,5934037,18350
West Midlands,Higher education,3936934,32.58489982,5934037,18350
West Midlands,A-level (or equivalent),3936934,54.19913059,5934037,18350
West Midlands,GCSE (A*-C),3936934,76.45726344,5934037,18350
East,Degree,4122088,26.93069629,6236072,22392
East,Higher education,4122088,34.66692123,6236072,22392
East,A-level (or equivalent),4122088,55.97522421,6236072,22392
East,GCSE (A*-C),4122088,80.3213323,6236072,22392
London,Degree,6372383,45.98582665,8961989,30256
London,Higher education,6372383,52.48333316,8961989,30256
London,A-level (or equivalent),6372383,67.72408375,8961989,30256
London,GCSE (A*-C),6372383,81.52554547,8961989,30256
South East,Degree,6090711,33.07173826,9180135,24715
South East,Higher education,6090711,41.61011744,9180135,24715
South East,A-level (or equivalent),6090711,64.68735752,9180135,24715
South East,GCSE (A*-C),6090711,84.86794071,9180135,24715
South West,Degree,3718069,29.02468997,5624696,21222
South West,Higher education,3718069,37.96871441,5624696,21222
South West,A-level (or equivalent),3718069,63.44839216,5624696,21222
South West,GCSE (A*-C),3718069,84.54315937,5624696,21222
