Year,Meat/veg,Average price,Index value
2000,meat,4.167172399,100
2001,meat,4.29998465,103.1871072
2002,meat,4.368825102,104.8390775
2003,meat,4.532940937,108.7773796
2004,meat,4.84785243,116.3343382
2005,meat,4.886209891,117.2548055
2006,meat,4.991545237,119.782547
2007,meat,5.076026495,121.8098511
2008,meat,5.254955315,126.1036217
2009,meat,6.111414423,146.6561457
2010,meat,6.214224906,149.1232978
2011,meat,6.528220099,156.6582679
2012,meat,7.078672819,169.8675299
2013,meat,7.110233698,170.624899
2014,meat,7.368426759,176.8207805
2015,meat,7.359776035,176.6131883
2016,meat,7.106509184,170.5355215
2017,meat,7.104469231,170.4865686
2018,meat,7.271966202,174.5060081
2019,meat,7.376454005,177.013411
2020,meat,7.474453815,179.365121
2021,meat,7.703029846,184.85028
2022,meat,8.890759285,213.3523271
2000,veg,1.045875743,100
2001,veg,1.070415063,102.346294
2002,veg,1.108405405,105.9786895
2003,veg,1.11788328,106.8849037
2004,veg,1.116623145,106.7644175
2005,veg,1.142281833,109.2177384
2006,veg,1.136579851,108.6725511
2007,veg,1.209391635,115.6343517
2008,veg,1.254147931,119.9136647
2009,veg,1.358882858,129.9277536
2010,veg,1.300418828,124.3377941
2011,veg,1.338997664,128.0264575
2012,veg,1.314140913,125.6498128
2013,veg,1.416355086,135.4228832
2014,veg,1.399512592,133.8125109
2015,veg,1.296472866,123.9605063
2016,veg,1.255046376,119.9995683
2017,veg,1.254567284,119.9537605
2018,veg,1.276468239,122.0477909
2019,veg,1.307096551,124.9762756
2020,veg,1.325077534,126.6955032
2021,veg,1.184703877,113.273865
2022,veg,1.391596078,133.0555841
