,Degree or equivalent ,Higher education ,GCE A level or equivalent ,GCSE grades A*-C or equivalent ,Other qualification ,No qualification ,Unsure 
North East,402615,152891,437588,424786,140062,196935,46783
North West,1070074,326519,906241,869196,314531,385517,71309
Merseyside,251444,67055,213181,232693,64875,115114,26743
Yorkshire and the Humber ,929672,280243,875083,835893,343609,352281,74431
East Midlands,799117,253492,775961,713647,329890,300073,58280
West Midlands,979112,303734,850938,876288,366308,446091,114463
East,1110107,318894,878347,1003568,389041,351956,70175
London,2930393,414046,971199,879482,654306,453871,69086
South East,2014304,520048,1405568,1229141,461325,391150,69175
South West,1079158,332545,947352,784318,274780,243378,56538
Wales,553739,184299,487829,467013,173398,206996,43676
Scotland,1054597,566166,816321,589961,234806,409274,90312
Northern Ireland,296110,125209,297689,246040,74925,204918,16853
